feature1,feature2,feature3,feature4,label
0.45, 1.2, 0.8, 0.9, 1
0.67, 1.5, 0.7, 1.0, 0
0.12, 0.8, 1.1, 0.6, 1
0.89, 1.3, 0.9, 1.4, 0
0.56, 0.9, 0.5, 1.1, 1
1.2, 0.7, 1.3, 0.8, 0
0.34, 1.1, 0.6, 1.0, 1
0.78, 0.9, 1.0, 0.7, 0
0.91, 1.4, 0.8, 0.6, 1
0.23, 0.6, 1.2, 0.9, 0
0.88, 1.0, 0.9, 1.1, 1
0.47, 1.3, 0.7, 0.8, 0
0.65, 0.5, 1.4, 1.2, 1
0.31, 1.1, 0.8, 1.0, 0
1.0, 0.9, 1.2, 0.5, 1
0.76, 1.4, 0.6, 1.3, 0
0.59, 0.7, 1.0, 0.8, 1
0.95, 1.2, 0.7, 1.1, 0
0.38, 1.0, 1.3, 0.9, 1
1.1, 0.8, 1.4, 0.7, 0
